Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,48,12,T:System.Windows.Forms.DockStyle,,,,,this.closeBtn.Dock = System.Windows.Forms.DockStyle.Left;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,48,12,P:System.Windows.Forms.Control.Dock,,,,,this.closeBtn.Dock = System.Windows.Forms.DockStyle.Left;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,47,12,T:System.Windows.Forms.Button,,,,,"this.closeBtn.BackColor = System.Drawing.Color.FromArgb(((int)(((byte)(168)))), ((int)(((byte)(172)))), ((int)(((byte)(176)))));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,47,12,P:System.Windows.Forms.ButtonBase.BackColor,,,,,"this.closeBtn.BackColor = System.Drawing.Color.FromArgb(((int)(((byte)(168)))), ((int)(((byte)(172)))), ((int)(((byte)(176)))));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,43,12,T:System.Windows.Forms.Label,,,,,"this.progLbl.Text = ""Program"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,43,12,P:System.Windows.Forms.Label.Text,,,,,"this.progLbl.Text = ""Program"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,42,12,T:System.Windows.Forms.Label,,,,,this.progLbl.TabIndex = 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,42,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.progLbl.TabIndex = 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,41,12,T:System.Windows.Forms.Label,,,,,"this.progLbl.Size = new System.Drawing.Size(127, 36);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,41,12,P:System.Windows.Forms.Control.Size,,,,,"this.progLbl.Size = new System.Drawing.Size(127, 36);"
